Sigma_Inter	Kuramoto_R	Power_Avg	Shannon_H	Mutual_Info
0.0	0.9999999992457445	7.189326944955949e-10	-0.0	2.299159679972591
0.010101010101010102	0.9999999995054317	5.065500308056384e-5	-0.0	2.2986622546657953
0.020202020202020204	0.9999999992464255	0.0002026529143655539	-0.0	2.299159679972591
0.030303030303030304	0.9999999991044046	0.00045603821835972226	-0.0	2.299159679972591
0.04040404040404041	0.9999999991241083	0.0008101295164157332	-0.0	2.2986359429453618
0.050505050505050504	0.9999999991865359	0.0012655205277513754	-0.0	2.2986527838236612
0.06060606060606061	0.9999999992562179	0.001821430844364136	-0.0	2.297156896573194
0.0707070707070707	0.999999999477638	0.002477201289571187	-0.0	2.2949367504416807
0.08080808080808081	0.9999999991868254	0.003233564657216351	-0.0	2.295890584219903
0.09090909090909091	0.9999999990757806	0.004089847601545041	-0.0	2.298672110496471
0.10101010101010101	0.9999999991839559	0.0050443128711961235	-0.0	2.298672110496471
0.1111111111111111	0.9999999990784388	0.0060969600970514895	-0.0	2.296415004521922
0.12121212121212122	0.9999999991817774	0.007248705355881723	-0.0	2.298607269434867
0.13131313131313133	0.9999999991820862	0.008495991322431774	-0.0	2.295893038986128
0.1414141414141414	0.9999999989587154	0.009840398841204058	-0.0	2.29457696762355
0.15151515151515152	0.9999999992352242	0.01128210404502592	-0.0	2.295749068603745
0.16161616161616163	0.9999999993043641	0.012815827311407279	-0.0	2.2955344149259314
0.1717171717171717	0.9999999989068031	0.014448151167455025	-0.0	2.2961834258940157
0.18181818181818182	0.9999999992949997	0.01616736789276031	-0.0	2.293364883250654
0.1919191919191919	0.9999999992018568	0.017981126212273484	-0.0	2.29525425931642
0.20202020202020202	0.9999999989930284	0.01988725769500048	-0.0	2.2976224585479073
0.21212121212121213	0.9999999990346206	0.021882053305011723	-0.0	2.2951672996658288
0.2222222222222222	0.9999999991226449	0.02396593690417142	-0.0	2.2945667581827522
0.23232323232323232	0.9999999984542055	0.02613575889797238	-0.0	2.2960678132429835
0.24242424242424243	0.9999999990955373	0.02839375593647309	-0.0	2.294165689359086
0.25252525252525254	0.9999999989329885	0.03073654412446633	-0.0	2.2959257483479374
0.26262626262626265	0.9999999987619601	0.03316181861916626	-0.0	2.2937748549414545
0.2727272727272727	0.9999999984962658	0.03566990060464045	-0.0	2.2892699322415857
0.2828282828282828	0.99999999888297	0.03825604463425073	-0.0	2.2958435826396344
0.29292929292929293	0.9999999984291928	0.04092747706725008	-0.0	2.290226307241423
0.30303030303030304	0.9999999990244582	0.04367061984831227	-0.0	2.2938667237671733
0.31313131313131315	0.9999999983944297	0.046491295961194286	-0.0	2.2921758487783404
0.32323232323232326	0.9999999985491442	0.0493862809334339	-0.0	2.291316241237621
0.3333333333333333	0.9999999982518787	0.052358786738651845	-0.0	2.2921599867323246
0.3434343434343434	0.9999999984742766	0.055395556745377314	-0.0	2.2888443772487777
0.35353535353535354	0.9999999987383307	0.05850591155906458	-0.0	2.2919611590565165
0.36363636363636365	0.9999999978607437	0.06168091386441649	-0.0	2.2909256867975523
0.37373737373737376	0.9999999985513739	0.06491789473977508	-0.0	2.2878295300063938
0.3838383838383838	0.999999998754457	0.068219814158298	-0.0	2.2907864808941327
0.3939393939393939	0.9999999977355939	0.07159484791346042	-0.0	2.2891469032711185
0.40404040404040403	0.9999999984215135	0.07502223551258369	-0.0	2.2866737452833847
0.41414141414141414	0.9999999980255538	0.07850246957177844	-0.0	2.2882616071360293
0.42424242424242425	0.9999999982232434	0.08203998611657345	-0.0	2.286804445577143
0.43434343434343436	0.9999999973371707	0.08564004725039859	-0.0	2.2871226218307616
0.4444444444444444	0.9999999970378919	0.08927624048065416	-0.0	2.28909689318966
0.45454545454545453	0.9999999980667991	0.0929859819027411	-0.0	2.2827575425296693
0.46464646464646464	0.9999999979101127	0.09671755594126802	-0.0	2.2863069978251613
0.47474747474747475	0.9999999976608545	0.10050470090673803	-0.0	2.284697196255624
0.48484848484848486	0.9999999959022858	0.10433800912262471	-0.0	2.283922313781755
0.494949494949495	0.9999999976030435	0.10820021016500907	-0.0	2.2858352680930007
0.5050505050505051	0.9999999973847921	0.11210597896000746	-0.0	2.280989768680139
0.5151515151515151	0.9999999959316405	0.11605061101070838	-0.0	2.283360743239643
0.5252525252525253	0.9999999970762137	0.12003344156280651	-0.0	2.284426237838338
0.5353535353535354	0.9999999967804518	0.12401606067357442	-0.0	2.281451983206757
0.5454545454545454	0.9999999960375846	0.12808851607939986	-0.0	2.2791053277992765
0.5555555555555556	0.999999996077787	0.13214271680352313	-0.0	2.280996773332164
0.5656565656565656	0.9999999966050318	0.1362318948495185	-0.0	2.2751715805261865
0.5757575757575758	0.999999996218427	0.1403426430500524	-0.0	2.2770974612654244
0.5858585858585859	0.9999999962294228	0.14446136529338122	-0.0	2.2730691996846937
0.5959595959595959	0.9999999954543094	0.1486234102394808	-0.0	2.2701648804745576
0.6060606060606061	0.999999995320252	0.1527758002085575	-0.0	2.2752468458275756
0.6161616161616161	0.9999999960286973	0.15695853005178603	-0.0	2.273605212553583
0.6262626262626263	0.9999999955854146	0.16113710330775693	-0.0	2.2718780049868874
0.6363636363636364	0.9999999928661478	0.16533593942846128	-0.0	2.268883896348258
0.6464646464646465	0.9999999944913495	0.16953696872678925	-0.0	2.269917562943027
0.6565656565656566	0.9999999940183187	0.17372564589697306	-0.0	2.2670632419645655
0.6666666666666666	0.9999999932718342	0.1779169105597945	-0.0	2.2677063539955085
0.6767676767676768	0.9999999947603523	0.18212969161054335	-0.0	2.266014053210326
0.6868686868686869	0.9999999923524203	0.1863067010917264	-0.0	2.26682248903618
0.696969696969697	0.9999999930171344	0.1904880317246361	-0.0	2.2650316406765874
0.7070707070707071	0.9999999912887467	0.19466671021699003	-0.0	2.263517256679917
0.7171717171717171	0.9999999917822449	0.1988190700892727	-0.0	2.2614415555548444
0.7272727272727273	0.9999999894836774	0.20298108894163897	-0.0	2.262787381727445
0.7373737373737373	0.9999999915712527	0.20711957645070747	-0.0	2.2627518490819636
0.7474747474747475	0.999999991059382	0.2112096305374989	-0.0	2.2567881211797016
0.7575757575757576	0.9999999908378232	0.21533241939128667	-0.0	2.2573859236818468
0.7676767676767676	0.9999999915210227	0.2193614825635356	-0.0	2.2576222111296884
0.7777777777777778	0.9999999920017867	0.22342543461990444	-0.0	2.255611611588194
0.7878787878787878	0.9999999895848839	0.2274209749170729	-0.0	2.2514847083039196
0.797979797979798	0.99999998831301	0.2313951417485013	-0.0	2.249936953979896
0.8080808080808081	0.9999999892786756	0.2353388247731114	-0.0	2.2455579892172124
0.8181818181818182	0.9999999858633195	0.23927219736539004	-0.0	2.2452026159452463
0.8282828282828283	0.9999999907243665	0.24310873516464904	-0.0	2.2457157024019634
0.8383838383838383	0.9999999867745882	0.24698071665632174	-0.0	2.240982492561745
0.8484848484848485	0.9999999902676365	0.25078921102122526	-0.0	2.240325356127781
0.8585858585858586	0.9999999877016421	0.25452166443188345	-0.0	2.2391746986047365
0.8686868686868687	0.9999999879861803	0.25824935978749286	-0.0	2.2348855255024676
0.8787878787878788	0.9999999830412378	0.26189582057931826	-0.0	2.2342428893577853
0.8888888888888888	0.9999999890039685	0.2654669861498349	-0.0	2.2323748888870516
